Unnamed: 0,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Hull,Type,Cabins,Is_Mono,Is_Diesel,Is_Cutter,Is_Ketch,Is_masthead_sloop,Is_Excellent,Is_Fair,Is_Good,Is_project_boat,Motor_Type,Engine_Count,Is_Inboard,Year_Listed,Asking_Price_Adj
124,2021-10-01,9500.0,1987,30.0,10.6,5.0,Connecticut,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,9500.0
125,2021-02-10,29900.0,1982,32.0,11.0,5.0,Florida,fiberglass,monohull,cruiser,2.0,1,1,1,0,0,0,0,1,0,inboard,1,1,2021,29900.0
128,2021-02-08,12000.0,1971,30.0,9.0,5.0,Florida,fiberglass,monohull,racer,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,12000.0
131,2021-02-06,7000.0,1980,27.0,10.0,3.7,New York,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,7000.0
132,2021-02-06,24995.0,1991,30.0,10.1,5.3,New York,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,24995.0
133,2021-02-06,12500.0,1981,27.17,9.25,4.25,Florida,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2021,12500.0
135,2021-02-05,7500.0,1971,24.0,8.0,5.0,New York,fiberglass,monohull,cruiser,2.0,1,0,0,0,1,0,0,1,0,outboard,1,0,2021,7500.0
137,2021-02-05,16000.0,1985,29.1,10.6,5.6,Connecticut,fiberglass,monohull,cruiser,1.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2021,15999.999999999998
138,2021-02-05,39000.0,1985,39.0,11.0,6.5,California,fiberglass,monohull,cruiser,3.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2021,39000.0
139,2021-02-04,15000.0,1990,28.0,9.1,3.9,New York,fiberglass,monohull,racer,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,15000.0
143,2021-02-04,25000.0,1988,32.0,10.5,4.0,Missouri,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2021,25000.0
145,2021-02-03,35900.0,1989,35.42,11.5,6.83,Illinois,fiberglass,monohull,racer,1.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2021,35900.0
146,2021-02-03,91000.0,2015,40.5,13.0,6.7,Outside United States,fiberglass,monohull,cruiser,3.0,1,0,0,0,0,0,0,1,0,motorless,0,0,2021,91000.0
148,2021-02-02,25000.0,1981,32.0,10.0,4.2,Florida,fiberglass,monohull,cruiser,0.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2021,25000.0
150,2017-08-28,5900.0,1980,18.5,5.5,2.0,Wisconsin,fiberglass,monohull,daysailer,1.0,1,0,0,0,1,1,0,0,0,outboard,1,0,2017,6522.205450391646
152,2017-08-28,65000.0,1972,46.0,16.0,7.0,California,fiberglass,monohull,cruiser,1.0,1,1,1,0,0,0,0,1,0,inboard,1,1,2017,71854.80580939948
154,2017-08-27,8500.0,1984,27.2,8.0,2.9,South Carolina,fiberglass,monohull,daysailer,2.0,1,0,0,0,0,0,0,1,0,outboard,1,0,2017,9396.397682767623
155,2017-08-27,39900.0,2000,31.0,10.8,5.6,Maine,fiberglass,monohull,cruiser,1.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2017,44107.79618146215
156,2017-08-26,17000.0,1987,27.0,9.17,3.33,New York,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2017,18792.795365535247
162,2017-08-24,40000.0,1969,35.0,10.0,3.5,Florida,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2017,44218.342036553535
164,2017-08-24,12000.0,1996,25.0,8.6,5.9,Texas,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,1,0,0,0,outboard,1,0,2017,13265.50261096606
165,2017-08-24,139900.0,1995,38.5,12.2,4.5,Florida,fiberglass,monohull,cruiser,2.0,1,1,1,0,0,1,0,0,0,inboard,1,1,2017,154653.65127284598
168,2017-08-22,39900.0,1979,38.0,12.0,5.5,Connecticut,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2017,44107.79618146215
169,2017-08-22,5500.0,1988,27.0,6.0,4.5,Connecticut,fiberglass,monohull,racer,0.0,1,0,0,0,1,0,0,1,0,motorless,0,0,2017,6080.022030026111
170,2017-08-22,47900.0,1972,40.0,10.5,5.5,Maine,fiberglass,monohull,cruiser,2.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2017,52951.464588772855
177,2017-08-20,10000.0,1984,26.0,7.0,3.0,New Jersey,fiberglass,monohull,cruiser,1.0,1,0,0,0,0,0,0,1,0,inboard,1,1,2017,11054.585509138384
180,2017-08-19,14500.0,2012,19.0,8.0,5.8,California,fiberglass,monohull,daysailer,0.0,1,0,0,0,0,1,0,0,0,outboard,1,0,2017,16029.148988250654
188,2017-08-17,5500.0,1968,32.0,9.0,5.0,New York,fiberglass,monohull,cruiser,2.0,1,0,0,0,1,0,0,1,0,inboard,1,1,2017,6080.022030026111
190,2017-08-17,19000.0,2012,21.0,8.0,4.5,Tennessee,fiberglass,monohull,racer,0.0,1,0,0,0,0,1,0,0,0,motorless,0,0,2017,21003.71246736293
191,2017-08-17,75000.0,1979,39.0,12.0,5.5,Maryland,fiberglass,monohull,racer,3.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2017,82909.39131853788
193,2017-08-15,12000.0,1988,24.0,8.6,4.0,Ohio,fiberglass,monohull,cruiser,4.0,1,0,0,0,0,1,0,0,0,outboard,1,0,2017,13265.50261096606
211,2017-08-10,58000.0,1990,38.0,12.6,5.5,Outside United States,fiberglass,monohull,cruiser,2.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2017,64116.595953002616
213,2017-08-10,28000.0,1997,15.0,6.0,2.0,Massachusetts,fiberglass,monohull,daysailer,0.0,1,0,0,0,0,1,0,0,0,inboard,1,1,2017,30952.83942558747
214,2017-08-10,35000.0,1965,41.0,10.5,5.6,Maine,wood,monohull,cruiser,2.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2017,38691.04928198434
216,2017-08-09,2000.0,1969,24.7,8.0,3.5,Maryland,fiberglass,monohull,cruiser,2.0,1,0,0,0,1,0,0,1,0,motorless,0,0,2017,2210.917101827676
217,2017-08-08,5195.0,1984,25.5,9.08,4.5,New York,fiberglass,monohull,daysailer,1.0,1,0,0,0,0,0,0,1,0,outboard,1,0,2017,5742.85717199739
220,2017-08-07,15000.0,1978,41.0,13.0,4.2,Florida,fiberglass,monohull,cruiser,2.0,1,1,0,1,0,0,1,0,0,inboard,1,1,2017,16581.878263707575
221,2017-08-07,8000.0,2004,25.0,8.6,3.6,Florida,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,0,0,1,0,outboard,1,0,2017,8843.668407310704
223,2012-11-26,18500.0,1976,33.0,10.8,3.7,New York,fiberglass,monohull,cruiser,1.0,1,1,0,1,0,0,0,1,0,inboard,1,1,2012,21833.954720071088
224,2012-11-26,18500.0,1976,33.0,10.8,3.7,New York,fiberglass,monohull,cruiser,1.0,1,1,0,1,0,0,0,1,0,inboard,1,1,2012,21833.954720071088
225,2012-11-25,70000.0,1999,28.0,8.2,4.5,California,fiberglass,monohull,daysailer,1.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2012,82614.96380567439
228,2012-11-21,123000.0,1999,38.5,12.4,5.1,Michigan,fiberglass,monohull,cruiser,3.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,145166.2935442564
230,2012-11-19,4000.0,1985,26.0,8.0,3.12,Connecticut,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,0,0,1,0,outboard,1,0,2012,4720.855074609964
231,2012-11-18,40000.0,1999,27.0,9.25,6.0,California,composite,monohull,racer,1.0,1,0,0,0,0,1,0,0,0,outboard,1,0,2012,47208.550746099645
