Length,Year,Beam,Draft,Is_Mono,Is_Diesel,Engine_Count,Cabins,Is_Inboard,Year_Listed,Is_Fiberglass,Is_cruiser,Is_daysailer,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat
22.5,1974,7.0,3.1,1,0,1,1.0,0,2011,1,0,1,0,0,0,0,0,1,0
16.0,2016,6.5,2.5,1,0,1,0.0,0,2022,0,0,1,0,0,0,0,0,1,0
25.0,1967,8.0,4.5,1,0,1,1.0,0,2013,1,1,0,0,0,1,0,0,1,0
39.0,1960,10.0,6.0,1,1,1,2.0,1,2015,0,1,0,0,0,0,1,0,0,0
28.67,1978,10.0,4.5,1,1,1,0.0,1,2016,1,1,0,1,0,0,1,0,0,0
33.9,1980,12.0,5.0,1,1,1,1.0,1,2020,1,0,0,1,0,0,0,0,0,0
26.0,1985,8.0,3.0,1,0,1,2.0,0,2010,1,0,1,0,0,0,1,0,0,0
38.2,2001,12.7,6.9,0,1,1,3.0,1,2019,1,1,0,0,0,0,1,0,0,0
25.0,1984,8.0,2.85,1,1,1,1.0,1,2015,1,1,0,1,0,0,1,0,0,0
33.5,2005,14.0,5.0,0,0,1,2.0,0,2010,1,0,0,0,0,0,1,0,0,0
38.0,1984,13.8,4.33,1,1,1,2.0,1,2022,1,1,0,1,0,0,0,0,1,0
14.0,1985,4.0,3.0,1,0,0,0.0,0,2018,1,0,1,0,0,0,0,0,1,0
33.0,1974,11.0,5.9,1,1,1,1.0,1,2022,1,0,0,0,0,0,0,0,1,0
33.0,1977,9.0,6.0,1,0,1,1.0,1,2021,1,1,0,0,1,0,1,0,0,0
34.0,1988,12.0,6.0,1,1,1,2.0,1,2014,1,1,0,1,0,0,1,0,0,0
30.0,1979,11.0,5.5,1,0,0,4.0,0,2015,1,1,0,1,0,0,1,0,0,0
