Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Lazer Zuma,20-Apr-2011,"$1,400", gas inboard,,14',6',',Massachusetts,fiberglass,monohull,cruiser,,,excellent
Catalina Capri 26,19-Apr-2011,"$16,900",1 diesel inboard,1990,26',10',4.5',Wisconsin,fiberglass,monohull,daysailer,masthead sloop,2.0,excellent
O'DAY CB,17-Apr-2011,"$15,000",1 diesel inboard,1981,29.11',10.9',4.11',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,fair
Jeanneau SO 42.1,14-Apr-2011,"$175,000",1 diesel inboard,1991,40',13'6',5'',Florida,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
S2 8.0 B,13-Apr-2011,"$5,500",1 gas inboard,1979,26',8',4',Illinois,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Hunter 420 Passage,12-Apr-2011,"$180,000", diesel inboard,2005,42',',',Florida,fiberglass,monohull,cruiser,,,
Hunter Deck Salon,12-Apr-2011,"$236,000", gas inboard,,41',13',5',New York,fiberglass,monohull,cruiser,,,new
Catalina 34 Mk II,10-Apr-2011,"$136,000",1 diesel inboard,2007,34',11.9',5.7',Oregon,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
starwind 223,10-Apr-2011,"$4,000",1 gas outboard,1986,22',8.6',1.5',Texas,fiberglass,monohull,daysailer,,,good
chris craft capri,09-Apr-2011,"$5,500",1 gas outboard,1968,26',8',4.5',Michigan,fiberglass,,cruiser,ketch,2.0,good
Ericson 29,08-Apr-2011,"$17,995",1 gas inboard,1973,28' 7',9'3',4'4',Outside United States,fiberglass,monohull,,masthead sloop,1.0,good
Hunter 380,07-Apr-2011,"$106,900",1 diesel inboard,2000,38',12-7',5',North Carolina,fiberglass,monohull,cruiser,fractional sloop,,excellent
Sabre 38 MKII,06-Apr-2011,"$114,900",1 diesel inboard,1988,38',12'4',4'3',North Carolina,fiberglass,monohull,,masthead sloop,,excellent
Hallberg Rassy Rasmus 35,04-Apr-2011,"$60,000",1 diesel inboard,1972,34.5',10',4.5',Vermont,fiberglass,monohull,,masthead sloop,2.0,excellent
Newport 27.2,04-Apr-2011,"$1,500", gas inboard,1976,27',9.2',5.2',South Carolina,fiberglass,monohull,cruiser,masthead sloop,1.0,project boat
Com-pac Legacy,03-Apr-2011,"$10,750",1 gas outboard,2007,16' 6',6'',3' 6',New York,fiberglass,monohull,daysailer,fractional sloop,1.0,excellent
Catalina 22,02-Apr-2011,"$3,500",1 gas outboard,1981,22',',',New York,fiberglass,monohull,cruiser,,,good
Sabre 30 III,02-Apr-2011,"$49,000",1 diesel inboard,1987,30',10'6',5'3',Maryland,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Hobie 16,02-Apr-2011,"$1,100",,1976,16'7',7'11',3',Colorado,fiberglass,catamaran,other,cat boat,0.0,good
O'Day Oday 22,01-Apr-2011,"$3,800",1 gas outboard,1977,22',7'2',4.3',New Hampshire,fiberglass,monohull,cruiser,,1.0,good
Bodrum Motorsailor ketch,31-Mar-2011,"$141,645",1 diesel inboard,1986,69',',',Outside United States,wood,monohull,cruiser,ketch,6.0,excellent
ETAP 39S,31-Mar-2011,"$185,000",1 diesel inboard,2004,39',12.5',5',California,fiberglass,monohull,cruiser,fractional sloop,3.0,excellent
Hunter 36 Sloop,29-Mar-2011,"$132,500",1 diesel inboard,2006,36',12',6'5',California,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Jeanneau Sun Odyssey,27-Mar-2011,"$43,000",1 diesel inboard,1995,28'6',9'10',4'11',Outside United States,fiberglass,monohull,cruiser,fractional sloop,1.0,excellent
 West Wight Potter 19,27-Mar-2011,"$22,000",1 gas outboard,2005,19',7 6',',Vermont,fiberglass,monohull,other,other,1.0,excellent
William Garden Barry Pearson Custom Cutter,18-Dec-2019,"$30,000",1 diesel inboard,1974,34',11'3',4'5',California,wood,monohull,cruiser,cutter,,excellent
Shark 24,18-Dec-2019,"$1,000",,,24',6.83',3.16',Michigan,,monohull,cruiser,,,project boat
Jeanneau Sun Odyssey 52.2,17-Dec-2019,"$100,000",1 diesel inboard,1996,52',15',6',Outside United States,fiberglass,monohull,cruiser,masthead sloop,4.0,good
