Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Morgan 41' Morgan Out Island,28-Apr-2013,"$52,000", diesel inboard,1974,41',13'5',4'6',Virginia,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Hughes Boat North Star,27-Apr-2013,"$3,000",1 diesel inboard,1972,25',',',Florida,fiberglass,monohull,,,1.0,good
Shock 23.5/hyrokeel,26-Apr-2013,"$11,500",1 gas outboard,1988,24',8.3',2.5',Kentucky,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Honor Marine Drascomb Driver,26-Apr-2013,"$3,100",1 gas inboard,1986,20',10',3.5',Massachusetts,fiberglass,monohull,daysailer,ketch,,excellent
Herreshoff 12 12 Doughdish Gaff-rigged Sloop,25-Apr-2013,"$23,000",,1995,15.9',5.9',2.5',Massachusetts,fiberglass,monohull,daysailer,other,0.0,excellent
Tremolina Argonauta,24-May-2011,"$32,000", other inboard,1992,26',20',4.5',Texas,fiberglass,trimaran,other,ketch,1.0,good
Pearson 26,24-May-2011,"$5,000",1 gas outboard,1971,26',8'8',4',Wisconsin,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina 310,24-May-2011,"$79,500",1 diesel inboard,2005,31',11-6',4-6',North Carolina,fiberglass,monohull,cruiser,masthead sloop,,excellent
Ralph Winslow ,23-May-2011,"$23,000",1 gas inboard,1936,32',10' 6',"4' 6""'",Michigan,wood,monohull,cruiser,masthead sloop,1.0,excellent
Catalina 34,23-May-2011,"$63,000",1 diesel inboard,1994,34',12',5'7',California,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Beneteau First 235,23-May-2011,"$9,995",1 gas outboard,1987,23',',',Missouri,fiberglass,monohull,cruiser,fractional sloop,,fair
Albatross Pilothouse Cutter Pilothouse Cutter,23-May-2011,"$490,000",1 diesel inboard,2001,49',15',7',Outside United States,steel,monohull,daysailer,cutter,5.0,excellent
