,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Type,Cabins,Is_Mono,Is_cruiser,Is_daysailer,Is_Diesel,Motor_Type,Engine_Count,Is_Fiberglass,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat,Is_Inboard,Year_Listed,Asking_Price_Adj
113,2021-06-13,42500.0,1973,46.0,12.5,5.6,New York,fiberglass,motorsailer,0.0,1,0,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2021,42500.0
114,2021-06-13,4999.0,2003,17.33,12.92,1.5,North Carolina,other,daysailer,1.0,0,0,1,0,outboard,1,0,0,0,0,1,0,0,0,0,2021,4999.0
115,2021-06-13,125000.0,1984,72.0,17.0,6.0,Outside United States,wood,cruiser,4.0,1,1,0,1,inboard,1,0,1,0,0,1,0,0,0,1,2021,124999.99999999999
117,2021-06-12,14999.0,1984,21.0,10.0,5.0,Rhode Island,fiberglass,daysailer,1.0,1,0,1,1,inboard,1,1,0,0,0,0,1,0,0,1,2021,14999.0
118,2021-06-11,9999.0,1985,27.0,8.0,4.0,Michigan,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2021,9999.0
120,2021-06-11,42000.0,1980,44.0,13.33,5.1,Florida,fiberglass,motorsailer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,0,1,1,2021,42000.0
127,2021-06-10,139900.0,2005,43.0,13.1,5.0,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2021,139900.0
128,2022-06-02,89900.0,1987,42.0,12.6,4.6,Florida,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2022,89900.0
129,2021-10-22,72500.0,1980,37.0,12.0,5.0,Virginia,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2021,72500.0
131,2021-06-10,99000.0,2004,45.0,14.34,6.73,Outside United States,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,99000.0
133,2021-06-09,20000.0,1972,26.0,7.5,4.0,Michigan,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2021,20000.0
134,2021-06-08,9999.0,1968,34.0,10.17,4.0,Maryland,fiberglass,cruiser,2.0,1,1,0,0,inboard,1,1,1,0,0,0,0,1,0,1,2021,9999.0
135,2021-06-08,10500.0,1989,27.0,9.1,3.5,Vermont,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2021,10500.0
136,2021-06-08,150000.0,2001,39.6,13.0,5.0,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2021,150000.0
138,2021-06-08,3000.0,1974,33.0,10.0,4.0,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,0,1,1,2021,3000.0
142,2021-06-07,195000.0,2006,38.0,20.0,4.0,Outside United States,fiberglass,cruiser,3.0,0,1,0,1,inboard,2,1,0,0,0,0,0,0,0,1,2021,195000.0
144,2021-06-06,28000.0,1979,32.0,9.5,4.8,New York,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2021,28000.0
145,2022-03-03,9000.0,1958,26.0,7.5,4.5,Oklahoma,wood,daysailer,1.0,1,0,1,0,outboard,1,0,0,0,0,0,1,0,0,0,2022,9000.0
146,2021-06-05,67000.0,1990,35.0,11.5,5.0,Washington,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2021,67000.0
149,2013-10-14,175000.0,1981,51.0,14.5,7.5,Mississippi,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,1,1,0,0,0,1,2013,203555.806436381
150,2013-10-14,90000.0,2000,38.0,12.6,5.4,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2013,104685.8433101388
151,2013-10-13,55000.0,1989,40.0,12.0,8.0,Outside United States,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2013,63974.682022862595
152,2013-10-12,49000.0,1986,36.0,12.0,6.0,Maine,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,56995.62580218668
154,2013-10-10,4500.0,1976,22.0,8.0,4.0,Missouri,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,1,0,0,0,0,2013,5234.29216550694
155,2013-10-09,19500.0,1987,30.0,10.9,4.8,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2013,22681.93271719674
156,2013-10-09,17000.0,1970,30.0,14.0,1.5,Florida,fiberglass,cruiser,4.0,0,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2013,19773.992625248437
158,2013-10-08,5600.0,1986,25.5,9.0,4.5,South Carolina,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,0,0,1,0,0,2013,6513.785805964192
