,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
5769,Tanzer T22,02-Mar-2022,1986,22.50',7.83',3.42',Maryland,"$5,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
5770,Wharram Tiki 38,02-Mar-2022,2010,38',22',2'6',Outside United States,"$65,500",composite,catamaran,cruiser,schooner,,good
5771,Jeanneau Sun Odyssey 52.2,17-Dec-2019,1996,52',15',6',Outside United States,"$100,000",fiberglass,monohull,cruiser,masthead sloop,4,good
5772,GB Rhodes 22,17-Dec-2019,1987,22',8',2',Maryland,"$6,000",fiberglass,monohull,cruiser,other,1,good
5773,Nauticat 33,17-Dec-2019,1980,33',33',4.5',,"$50,000",fiberglass,monohull,motorsailer,ketch,3,good
5774,Warrior Catamaran,16-Dec-2019,1980,31',',',Florida,"$17,999",other,catamaran,daysailer,,,excellent
5775,Mirage 29,16-Dec-2019,1989,29',9.5',5.5',Outside United States,"$35,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
5776,Catalina 30 Partnership,16-Dec-2019,1976,30',10',5',California,"$4,000",fiberglass,monohull,cruiser,fractional sloop,,excellent
5777,Spcns ,15-Dec-2019,1974,75',12',',California,"$10,000",other,monohull,motorsailer,ketch,3,fair
5778,Hunter 28.5,13-Dec-2019,1986,28.5',10' 6',5' 2',Ohio,"$11,000",fiberglass,monohull,cruiser,masthead sloop,1,good
5779,islander i36,12-Dec-2019,1977,36',13',5.5',Outside United States,"$17,000",fiberglass,monohull,cruiser,masthead sloop,1,
5780,Lagoon 380,12-Dec-2019,2007,37',21',3.9',Outside United States,"$149,800",fiberglass,catamaran,,yawl,4,excellent
5781,Mirage yachts Kirby 25,11-Dec-2019,1979,25',8.75',4',Florida,"$2,000",fiberglass,monohull,racer/cruiser,fractional sloop,,good
5782,Whitby 42,11-Dec-2019,1975,42',13',5',Oklahoma,"$69,900",fiberglass,monohull,cruiser,ketch,2,excellent
5783,Dehler 43 CWS,10-Dec-2019,1993,43',',6.5',Outside United States,"$75,000",fiberglass,monohull,cruiser,,3,excellent
5784,Hunter 41 Deck Salon,10-Dec-2019,2006,40'4',',',Florida,"$149,000",fiberglass,monohull,cruiser,fractional sloop,,excellent
5785,Catalina 350 MK II,10-Dec-2019,2008,35',13',4'9',Florida,"$112,000",fiberglass,monohull,cruiser,fractional sloop,2,excellent
5786,97 MacGregor 26X,10-Dec-2019,1997,26',',',Florida,"$12,500",fiberglass,monohull,motorsailer,,1,good
5787,Beneteau Oceanis 40,09-Dec-2019,2008,40',12.83',6.42',California,"$174,900",fiberglass,monohull,cruiser,fractional sloop,2,excellent
5788,beneteau oceanis 423,09-Dec-2019,2004,43',13',6',Florida,"$149,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
5789,LD Thistle 1703,09-Dec-2019,1971,17',6',4',Florida,"$3,000",fiberglass,monohull,daysailer,other,0,good
5790,Atkins Cutter,09-Dec-2019,1991,30',9',5'6',Maine,"$51,900",wood,monohull,cruiser,,,excellent
5791,custom Tahiti Ketch,08-Dec-2019,1964,30',10',5',California,"$17,500",wood,monohull,cruiser,ketch,2,good
5792,Tayana 55,08-Dec-2019,1998,55',16',5',Florida,"$289,000",fiberglass,monohull,cruiser,cutter,3,good
5793,Robertson Bros Farr 38,07-Dec-2019,1977,38',13',6.75',California,"$12,400",wood,monohull,racer,fractional sloop,1,good
5794,Bayfield 25,06-Dec-2019,1976,25',',2'9',Florida,"$6,500",fiberglass,monohull,cruiser,,,excellent
5795,vanguard laser,06-Dec-2019,2005,17',',',Virginia,"$4,900",fiberglass,monohull,daysailer,other,,excellent
5796,Jeanneau Melody,06-Dec-2019,1977,34',11'1',6'6',Washington,"$37,900",fiberglass,monohull,cruiser,,,excellent
5797,Yorktown ,05-Dec-2019,1977,33',',',California,"$9,500",fiberglass,monohull,motorsailer,,,fair
5798,Cape Cod Bullseye,05-Dec-2019,1959,16',5'10',2'5',Florida,"$9,000",fiberglass,monohull,daysailer,,,
5799,Offshore Yachts 33 Cat-Ketch,05-Dec-2019,1985,33',11',4',North Carolina,"$24,000",fiberglass,monohull,cruiser,ketch,2,excellent
5800,Jeanneau 44 DS,04-Dec-2019,2013,44',13',5',Florida,"$229,000",fiberglass,monohull,racer/cruiser,fractional sloop,2,excellent
5801,Whitby Whitby 42 Ketch,03-Dec-2019,1982,42',',',Outside United States,"$60,000",fiberglass,monohull,cruiser,ketch,2,excellent
5802,Sabre 28,02-Dec-2019,1974,28',9.17',4.33',Michigan,"$4,900",,monohull,,,,project boat
5803,Coronado sloop 35,02-Dec-2019,1976,35',11',6',,"$21,000",fiberglass,monohull,cruiser,masthead sloop,2,good
5804,Arch Davis Design Sand Dollar,01-Dec-2019,2001,11',3'8',.5',Virginia,"$5,500",wood,monohull,dinghy,cat boat,,excellent
5805,Catalina Catalina 25 Swing Keel,30-Nov-2019,1986,25',8',3',Florida,"$7,900",fiberglass,monohull,daysailer,,1,good
5806,Chesapeake Light Craft Passagemaker Dingy,30-Nov-2019,2017,11'7',4'8',2',Connecticut,"$4,500",wood,monohull,daysailer,fractional sloop,0,excellent
5807,Catalina Catalina 38,30-Nov-2019,1979,38',11.83',6.8',Outside United States,"$26,500",fiberglass,monohull,racer/cruiser,masthead sloop,1,excellent
