,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
9620,C&amp;C 29 Mk1,22-Sep-2021,1978,29',10'5',5'-6',Rhode Island,"$10,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
9621,Morgan Start &amp; Jenks,21-Sep-2021,1979,46'',12' 6',7' 6',New York,"$41,500",fiberglass,monohull,cruiser,,2,good
9622,Bauteck Marine Bauer 10,21-Sep-2021,2009,10',5',',Delaware,"$5,000",fiberglass,monohull,dinghy,other,,excellent
9623,Catalina 25,21-Sep-2021,1982,25',8',4',Michigan,"$4,000",fiberglass,monohull,cruiser,masthead sloop,1,good
9624,Bayfield 29,21-Sep-2021,1983,29',10'3',3'6',Michigan,"$14,000",fiberglass,monohull,cruiser,,,excellent
9625,Jeanneau Sun Odyssey 36i,20-Sep-2021,2007,36',11.75',4.9',Rhode Island,"$115,000",fiberglass,monohull,cruiser,fractional sloop,2,
9626,Vintage Wooden Day Sailer 13 Ft Lady Bug,20-Sep-2021,,13',5',1',Massachusetts,"$2,900",fiberglass,monohull,daysailer,ketch,,excellent
9627,Laser Race,20-Sep-2021,2010,13.75',4.6',',Maryland,"$11,000",fiberglass,monohull,dinghy,other,,excellent
9628,Edey &amp; Duff Stone Horse 23,20-Sep-2021,1977,23',7' 1',3' 6',Maine,"$10,500",fiberglass,monohull,daysailer,cutter,1,good
9629,Classic Wooden Day Sailer 20 ft Yawl Dory Day Sailer,20-Sep-2021,2001,20',8',1',Massachusetts,"$14,999",wood,monohull,daysailer,yawl,1,excellent
9630,Frers and Cibils F&amp;C 44 K/CB Ketch,20-Sep-2021,1980,44',12' 6',5' 6',New York,"$195,000",fiberglass,monohull,cruiser,ketch,2,excellent
9631,Custom Herreschoff Mobjack ketch,20-Sep-2021,1982,47',14',5'6',Maine,"$145,000",composite,monohull,cruiser,ketch,3,good
9632,O'Day 23',20-Sep-2021,1978,23',8',5.33',Massachusetts,"$7,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
9633,Jeanneau 44i,20-Sep-2021,2011,45',14',6.8',Maryland,"$149,000",fiberglass,monohull,cruiser,fractional sloop,4,good
9634,Sino America ,20-Sep-2021,1980,39',11.3',7',Outside United States,"$100,000",fiberglass,monohull,cruiser,cutter,3,excellent
9635,Fahnrich 31,20-Sep-2021,1967,31',9',6',Vermont,"$14,900",fiberglass,monohull,cruiser,cutter,2,good
9636,Parker 505,19-Sep-2021,1985,16'8',6'6',',Colorado,"$1,500",fiberglass,monohull,racer,,,fair
9637,beetlecat catboat,19-Sep-2021,1976,12',6',2',New Jersey,"$4,750",wood,monohull,daysailer,cat boat,,good
9638,Cheoy Lee Clipper 36,19-Sep-2021,1970,36',10.75',5.30',California,"$29,000",fiberglass,monohull,cruiser,ketch,2,good
9639,Catalina Catalina 30,19-Sep-2021,1980,30',10'10',5'3',Maryland,"$10,500",fiberglass,monohull,cruiser,fractional sloop,1,good
9640,Tartan 27,19-Sep-2021,1969,27',8.6',36',Massachusetts,"$2,500",fiberglass,monohull,cruiser,masthead sloop,,project boat
9641,C&amp;C Yachts C&amp;C 40R,19-Sep-2021,1978,40',12.50',7',Maryland,"$59,900",fiberglass,monohull,cruiser,masthead sloop,2,good
9644,Hartley 39,11-Nov-2019,1982,39',11.6',72',California,"$26,000",other,monohull,cruiser,masthead sloop,1,good
9645,Pearson P-30,10-Nov-2019,1975,30',9',6',Maine,"$10,500",fiberglass,monohull,cruiser,,2,good
9646,Wharram Pahi 35,10-Nov-2019,1978,35',15',2',Outside United States,"$18,000",fiberglass,catamaran,other,cat boat,3,good
9647,Catalina Sailboat,10-Nov-2019,1973,27',',',California,"$6,000",fiberglass,monohull,daysailer,masthead sloop,1,good
9648,MacGregor 26 Feet,08-Nov-2019,1988,25'10',7'11',',Hawaii,"$6,500",fiberglass,,cruiser,,,excellent
9649,Pearson Countess 44,08-Nov-2019,1965,44',12',5.5',Florida,"$30,000",fiberglass,monohull,cruiser,ketch,1,fair
9650,Hunter 260,07-Nov-2019,2003,26',8.9',6',Alabama,"$19,500",fiberglass,monohull,daysailer,other,1,good
9651,Hunter Marine 36' Ma Keleko,07-Nov-2019,2009,36',',',Oklahoma,"$114,900",fiberglass,monohull,cruiser,,,
9652,Pearson 31-2,06-Nov-2019,1987,31',10-7',5'-9',California,"$32,000",fiberglass,monohull,cruiser,,1,excellent
9653,Chesapeake Light Craft Pocketship,06-Nov-2019,2017,15',6.3',2',Massachusetts,"$12,400",wood,monohull,cruiser,other,2,excellent
9654,island packet ,06-Nov-2019,1985,31',11'7',4',Texas,"$38,500",fiberglass,monohull,cruiser,,1,good
9655,Gemini 105m,06-Nov-2019,1998,34',14',1.5',Texas,"$70,000",fiberglass,catamaran,cruiser,masthead sloop,3,
9656,Hobie 16 SOLD Catamaran,06-Nov-2019,1986,16',',',Florida,"$3,000",fiberglass,catamaran,,cat boat,,excellent
9657,O'Day Drop Keel,06-Nov-2019,1978,25',',',Virginia,"$8,500",fiberglass,monohull,cruiser,,,project boat
9658,catalina tall rig,05-Nov-2019,1993,34',11',5 7',Iowa,"$44,000",fiberglass,monohull,cruiser,masthead sloop,3,excellent
9659,Watkins 29,04-Nov-2019,2007,29',',',New Jersey,"$7,500",fiberglass,monohull,cruiser,,,excellent
9660,Hunter ,03-Nov-2019,1995,29.5',10.6',4.5',Massachusetts,"$24,000",fiberglass,monohull,cruiser,,1,good
9661,Hunter 29.5,03-Nov-2019,1995,29.5',10.6',4.5',Massachusetts,"$24,000",fiberglass,monohull,cruiser,other,1,good
9662,Prindle catamarans Prindle18-2,03-Nov-2019,,18',',',Virginia,"$6,000",fiberglass,catamaran,racer/cruiser,cat boat,,excellent
9663,Catalina 30 Mark III,02-Nov-2019,1997,30',10.10',4.2',Florida,"$39,000",fiberglass,monohull,cruiser,masthead sloop,1,
9664,Catalina Sloop,01-Nov-2019,1977,30',11',4',California,"$5,900",fiberglass,monohull,cruiser,,,good
9665,HUNTER 456,01-Nov-2019,2005,45',14',6.5',Ohio,"$180,000",fiberglass,monohull,cruiser,other,2,excellent
9666,Morgan 1983 Nelson/Merrick 454,31-Oct-2019,1983,45',13',9',New Mexico,"$25,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,project boat
9667,LaserPerformance Laser   Dolly and Trailer,31-Oct-2019,2013,13.75',4.7',2.7',New Jersey,"$6,500",fiberglass,monohull,dinghy,cat boat,0,excellent
9668,Bavaria 44,31-Oct-2019,2004,45.8',13.9',6.4',Outside United States,"$99,000",fiberglass,monohull,cruiser,masthead sloop,4,good
9669,Dynamique 80 Cutter,31-Oct-2019,1995,80',19.6',8.0',Outside United States,"$490,000",fiberglass,monohull,cruiser,cutter,4,good
9670,catalina catalina30,30-Oct-2019,1987,29.9',11',310',Florida,"$10,500",fiberglass,monohull,cruiser,other,,good
9671,Vanguard Laser,30-Oct-2019,1973,13.75',4.75',2.7',California,"$1,000",fiberglass,monohull,dinghy,other,,good
9672,Lagoon 420 Catamaran Sailboat Lagoon 420,24-Jun-2022,2007,42',24',4',Florida,"$425,000",fiberglass,catamaran,cruiser,other,3,excellent
9673,Privilege 43,29-Oct-2019,1993,43',23',5',Florida,"$230,000",fiberglass,catamaran,cruiser,fractional sloop,,good
9674,Aloha Racing AC54,29-Oct-2019,1999,80',13.8',13.3',Illinois,"$125,000",composite,monohull,racer,fractional sloop,1,fair
9675,Fountaine Pajot Athena 38,28-Oct-2019,1996,38',20'8'',3' 1'',Florida,"$148,000",fiberglass,catamaran,cruiser,masthead sloop,4,good
9676,Ericson C,28-Oct-2019,1977,31',10.42',4.92',California,"$35,000",fiberglass,monohull,cruiser,other,1,excellent
9677,Able 20,28-Oct-2019,1973,20',7.5',2.5',Florida,"$5,000",fiberglass,monohull,cruiser,masthead sloop,1,good
9678,Tartan Marine Tartan 33,28-Oct-2019,1981,33'8',11',4.5',New York,"$19,500",fiberglass,monohull,cruiser,fractional sloop,,good
9679,fales navigator,28-Oct-2019,,30',11',3.5',Outside United States,"$11,000",fiberglass,monohull,motorsailer,,,project boat
9680,Contest 38S,27-Oct-2019,1992,38',12',6.6',Florida,"$95,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
9681,Hallberg rassy 41,27-Oct-2019,1980,',',',,$0,fiberglass,monohull,cruiser,,2,excellent
9682,Boston Whaler Harpoon 5.2,26-Oct-2019,1983,17',',1',Mississippi,"$3,200",fiberglass,monohull,daysailer,schooner,,good
9683,Catalina C27,26-Oct-2019,1984,27',8.9',4',Georgia,"$1,500",fiberglass,monohull,cruiser,masthead sloop,2,project boat
9684,Catalina C25,26-Oct-2019,1976,25',8',4',Georgia,"$1,300",fiberglass,monohull,cruiser,masthead sloop,2,fair
9685,Catalina C25,26-Oct-2019,1983,25',8',4',Georgia,"$1,900",fiberglass,monohull,cruiser,masthead sloop,2,
9686,Catalina C27,26-Oct-2019,1973,27',8.8',4',Georgia,"$4,999",fiberglass,monohull,cruiser,masthead sloop,2,excellent
9687,Seaward Fox 19,25-Oct-2019,1995,19',8',1.5',Ohio,"$4,800",fiberglass,monohull,cruiser,cat boat,1,good
9688,Schock New York 36,25-Oct-2019,1982,36',11.6',6.3',Washington,"$23,999",fiberglass,monohull,cruiser,fractional sloop,1,good
9689,Custom ,25-Oct-2019,2010,144',30',13',Outside United States,"$11,672,780",steel,monohull,cruiser,,5,
9690,Seafarer MarkI,25-Oct-2019,1968,31',"8'10""'","4'6""'",New York,"$13,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
9691,Nacra Nacra 15,24-Oct-2019,2017,15',',',Florida,"$14,000",fiberglass,catamaran,racer,,0,excellent
9692,Hunter 36c,24-Oct-2019,2010,36',12',4'11',Florida,"$114,900",fiberglass,monohull,cruiser,fractional sloop,2,excellent
9693,Beneteau Oceanis 44 C,24-Oct-2019,1996,44',',',Oklahoma,"$88,888",fiberglass,monohull,cruiser,,,good
9694,Young Sun Westwind,23-Oct-2019,1979,35',11',5'6',North Carolina,"$37,995",fiberglass,monohull,cruiser,,,excellent
9695,Aegean Yacht Services 100ft,23-Oct-2019,2005,100',21',11',Florida,"$750,000",steel,monohull,motorsailer,ketch,4,fair
9696,Island Packet 38,23-Oct-2019,1988,41.6',12.8',5',Outside United States,"$85,900",fiberglass,monohull,cruiser,cutter,2,good
9697,Hunter 33,22-Oct-2019,2011,33',11.5',4.5',California,"$80,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
9698,Dynamique yachts Dynamique 80,22-Oct-2019,1995,80',19.60',8',Outside United States,"$490,000",fiberglass,monohull,cruiser,cutter,,good
9699,Catalina30 Wingkeel,22-Oct-2019,1980,30',10.83',5.25',Florida,"$14,200",fiberglass,monohull,cruiser,other,1,good
9700,Beneteau Oceanis 361,21-Oct-2019,2002,36',12',5',Ohio,"$58,000",fiberglass,monohull,cruiser,masthead sloop,3,good
9701,Catalina Yachts Mark I,21-Oct-2019,1987,21'6',7'8',3.5',Kansas,"$1,950",fiberglass,monohull,cruiser,masthead sloop,1,fair
9702,Morgan Heritage 1 Ton,21-Oct-2019,1976,37',10',5 10'',Florida,"$23,999",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
9703,Island Packet IP 38,21-Oct-2019,1983,38',13',5',South Carolina,"$120,000",fiberglass,monohull,cruiser,cutter,3,excellent
9704,Van De Stadt 32 Sloop,21-Oct-2019,1970,31'5',10'6',5',Maine,"$6,000",fiberglass,monohull,cruiser,,,fair
9705,Morgan M27,21-Oct-2019,1971,27',6',5.8',Outside United States,"$8,000",fiberglass,monohull,cruiser,masthead sloop,1,fair
9706,Catalina 30,21-Oct-2019,1976,30',10',5',California,"$3,500",fiberglass,monohull,cruiser,fractional sloop,0,good
9707,Ericson 29,20-Oct-2019,1975,29',9.25',4.33',California,"$16,000",fiberglass,monohull,cruiser,masthead sloop,2,good
9708,LAGOON 450 F,19-Oct-2019,2014,45',25.9',4.3',Florida,"$525,000",fiberglass,catamaran,cruiser,,4,excellent
9709,Panther Craft Tornado Classic,19-Oct-2019,1974,20',10',3',Ohio,"$2,500",fiberglass,catamaran,racer,cat boat,,excellent
9710,Falcon Marine Blade F16,19-Oct-2019,2008,16',8.5',3',Ohio,"$14,000",fiberglass,catamaran,racer,cat boat,0,good
9711,Abo Batvarf Kings cruiser,18-Oct-2019,1970,29',8',5',California,"$8,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
9712,Catalina30 Wingkill,18-Oct-2019,1980,30',10.83',5.25',Florida,"$14,000",fiberglass,monohull,cruiser,schooner,1,good
9713,RS Sailing Zest,18-Oct-2019,2019,11.9',4.10',',New York,"$4,470",other,monohull,,,,new
9714,Laser Performance Sunfish World Championship Event Boat Package,18-Oct-2019,2020,13.9',4.1',',New York,"$5,049",fiberglass,monohull,,other,,excellent
9715,CATALINA 25,17-Oct-2019,1986,25',9',3',Florida,"$4,500",fiberglass,monohull,cruiser,masthead sloop,2,good
9716,custom schooner,17-Oct-2019,1980,42',10.5',5.0',Outside United States,"$79,000",wood,monohull,cruiser,schooner,3,good
9717,Islander 36,16-Oct-2019,1974,36',12',6',California,"$28,000",fiberglass,monohull,cruiser,masthead sloop,2,good
9718,express 27 sloop,15-Oct-2019,,27',',',Florida,"$20,000",fiberglass,monohull,racer/cruiser,masthead sloop,,excellent
9719,Bruce Roberts Slocum Spray,15-Oct-2019,,33',12',4',Florida,"$8,000",fiberglass,monohull,cruiser,schooner,2,
9720,Alcort Sunfish,14-Oct-2019,1970,14',4',1.5',Alabama,$600,fiberglass,monohull,daysailer,cat boat,0,good
9722,Laser Performance Laser,10-Jun-2022,2009,',',',Rhode Island,"$5,000",,,dinghy,,,excellent
9723,Catalina 470,10-Jun-2022,2000,47',14',5'8',Florida,"$199,000",fiberglass,monohull,cruiser,,,good
9724,Down East Cutter Rig Sloop,11-Jun-2022,1977,38',12',5',Florida,"$49,900",fiberglass,monohull,racer/cruiser,cutter,2,excellent
9725,Tartan LS10 LS10,10-Jun-2022,2008,33',9.25',5',Outside United States,"$48,500",fiberglass,monohull,racer/cruiser,fractional sloop,,
9726,American Sail American 14.6,10-Jun-2022,2010,14',6'3',3'6',New Jersey,"$7,500",fiberglass,monohull,daysailer,,,new
9727,Downeast 32,10-Jun-2022,1977,32',11',4'8',Florida,"$11,000",fiberglass,monohull,cruiser,,,good
9728,Vanguard Volant,10-Jun-2022,1983,18',5',1',Michigan,"$1,500",fiberglass,monohull,dinghy,masthead sloop,0,good
9729,Bruce Roberts Offshore 38,09-Jun-2022,2004,39',12',6',Outside United States,"$60,000",steel,monohull,cruiser,ketch,,
9730,Vanguard 13,09-Jun-2022,,13',',0.5',Massachusetts,$795,fiberglass,monohull,daysailer,masthead sloop,,good
9731,Catalina 320,11-Jul-2022,2005,32'-6',11',4' 4',Florida,"$80,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
9732,Cal 33,09-Jun-2022,1987,33',11'3',4'7',New Jersey,"$24,900",fiberglass,monohull,cruiser,masthead sloop,,good
9733,AMF Sunfish Alcort,10-Jun-2022,198,14',3',1',Illinois,$800,fiberglass,monohull,daysailer,other,0,good
9734,Hunter 34,09-Jun-2022,1986,34',11.7',5.5',Wisconsin,"$34,500",fiberglass,monohull,cruiser,masthead sloop,3,excellent
9735,Paceship 26 26,09-Jun-2022,1978,',',',New York,"$6,500",fiberglass,monohull,cruiser,masthead sloop,,good
9736,Gemini 105MC,09-Jun-2022,2002,34',14',1.6',Florida,"$89,000",fiberglass,monohull,cruiser,,4,good
9737,Laser Laser,09-Jun-2022,2010,',',',Pennsylvania,"$4,000",fiberglass,monohull,dinghy,,,good
9738,Nonsuch Naiad 18,09-Jun-2022,1989,18.5',6',30.7',Outside United States,"$7,500",fiberglass,monohull,daysailer,cat boat,0,
9739,Pearson 28,09-Jun-2022,1981,28',9.3',5',Maryland,"$11,500",fiberglass,monohull,racer/cruiser,masthead sloop,,excellent
9740,Hunter 30,09-Jun-2022,1988,30',11',4.25',Maryland,"$12,900",fiberglass,monohull,racer/cruiser,masthead sloop,,good
9741,Sloop Briand 62,09-Jun-2022,1992,62',16',8',Outside United States,"$180,673",fiberglass,monohull,cruiser,,,
9742,MacGregor TR 26,10-Jun-2022,1994,26',8',0.5',North Carolina,"$12,900",fiberglass,monohull,daysailer,fractional sloop,1,excellent
9743,Catalina Yachts Catalina 25 Tall Rig,09-Jun-2022,1981,25',8',4',Rhode Island,"$8,500",fiberglass,monohull,cruiser,masthead sloop,2,excellent
9744,Motorsailer 2017 Custom 49 World Cruiser,09-Jun-2022,2017,49',10',3',Florida,"$40,000",fiberglass,monohull,cruiser,,,excellent
9745,Cape Dory CD30K,09-Jun-2022,1980,30',9.5',4.5',Florida,"$36,000",fiberglass,monohull,cruiser,ketch,1,excellent
9746,Bavaria Cruiser 46,09-Jun-2022,2014,46',4.35',2.10',Outside United States,"$232,000",fiberglass,monohull,cruiser,other,4,excellent
9747,Beneteau 423 Oceanis,08-Jun-2022,2005,43.2',13',7',California,"$195,000",fiberglass,monohull,cruiser,cutter,2,excellent
9748,Penguin ,08-Jun-2022,1963,11',',',Indiana,$700,wood,,daysailer,,,excellent
9749,Nonsuch 26,08-Jun-2022,1981,26',',',Texas,"$13,900",fiberglass,monohull,cruiser,cat boat,,
9750,Optimist Opti,08-Jun-2022,,8',',',New Jersey,$750,fiberglass,monohull,dinghy,,,good
9751,Chrysler Marine Buccaneer,08-Jun-2022,1970,18',6',1',North Carolina,"$1,000",fiberglass,monohull,daysailer,fractional sloop,,good
9752,Alberg Alberg 30,08-Jun-2022,,30',8.8',5.3',South Carolina,"$10,000",wood,monohull,motorsailer,,1,fair
9753,Vanguard Laser,08-Jun-2022,2000,13',',',California,"$2,500",fiberglass,monohull,dinghy,cat boat,,good
9754,Cape Dory Typhoon Weekender,07-Jun-2022,1975,19',',',Wisconsin,"$7,500",fiberglass,,daysailer,,,
9755,Hunter Cherubini,08-Jun-2022,1981,36',11.8',4.9',Maryland,"$19,500",fiberglass,monohull,cruiser,masthead sloop,1,good
9756,Leopard Leopard 45,07-Jun-2022,2020,45',24',5',North Carolina,"$959,000",fiberglass,catamaran,cruiser,,3,excellent
9757,Catalina 30,07-Jun-2022,1987,30',',4'6',New York,"$18,000",fiberglass,monohull,cruiser,,,excellent
9758,Taiwan Union Cutter,09-Jun-2022,1986,36.2',11.3',5.7',Washington,"$79,000",fiberglass,monohull,cruiser,cutter,1,excellent
9759,Whitby 42 Ketch,09-Jul-2022,1983,42',13',5',Texas,"$85,000",fiberglass,monohull,cruiser,ketch,3,excellent
9760,Barnett Butterfly,07-Jun-2022,,12',4',1',Michigan,$300,fiberglass,monohull,daysailer,,,
9761,Hunter 36,07-Jun-2022,2006,36',12',4'11',New Jersey,"$79,900",fiberglass,monohull,cruiser,fractional sloop,,excellent
9762,C &amp; c 38-2,07-Jun-2022,77,38',12',6',Tennessee,"$17,000",fiberglass,monohull,cruiser,masthead sloop,0,good
9763,Dragonfly 920,07-Jun-2022,1998,30',24',5.1',New York,"$95,000",fiberglass,trimaran,racer/cruiser,fractional sloop,1,excellent
9764,Beneteau Oceanis 381,08-Jun-2022,1999,38'6',12'1',5'4',Florida,"$85,500",fiberglass,monohull,racer/cruiser,,2,good
9765,Catalina Catalina,07-Jun-2022,,27',',',Wisconsin,"$2,000",fiberglass,monohull,cruiser,,,fair
9766,Hunter Legend 35.5,07-Jun-2022,1990,35',11',4',Outside United States,"$44,585",fiberglass,monohull,cruiser,,,
9767,Hunter 356,07-Jun-2022,2002,35',12',5',Florida,"$80,000",fiberglass,monohull,cruiser,,2,excellent
9768,Pearson 323,07-Jun-2022,1979,32.3',10',4.5',Florida,"$29,500",fiberglass,monohull,cruiser,masthead sloop,2,good
9769,bauerteck 10,08-Jun-2022,2020,10',4'9',2',New York,"$4,800",fiberglass,monohull,dinghy,other,,excellent
9770,Hunter Hunter 17,07-Jun-2022,2006,17',',',New York,"$5,000",fiberglass,monohull,daysailer,,0,fair
9771,pearson 28-1,06-Jun-2022,1978,28',9.25',5',New York,"$6,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
9772,Catalina 28 MKII,07-Jun-2022,2008,29.5',10.4',3.9',Nebraska,"$65,000",fiberglass,monohull,cruiser,other,2,good
9773,Catalina C27 TALL RIG,06-Jun-2022,1973,27',9',4',Ohio,"$6,000",fiberglass,monohull,cruiser,masthead sloop,2,project boat
9774,ComPac Picnic Cat SOLD,06-Jun-2022,2008,14',6.5',0.5',Maine,"$9,500",fiberglass,monohull,daysailer,cat boat,,excellent
9775,Pearson 365,06-Jun-2022,1977,36',11.5',4.5',Outside United States,"$45,000",fiberglass,monohull,cruiser,ketch,1,good
9776,Rhodes 12' Robin,07-Jun-2022,1964,12',7',0',Massachusetts,"$3,900",fiberglass,monohull,daysailer,fractional sloop,,excellent
9777,Precision P28,06-Jun-2022,2001,28',10',"3'8""'",Iowa,"$30,000",fiberglass,monohull,cruiser,fractional sloop,1,excellent
9778,Sabre mark,06-Jun-2022,1985,38',8',6',Michigan,"$35,000",fiberglass,monohull,cruiser,masthead sloop,2,fair
9779,Catalina 250,06-Jun-2022,1998,25',8',4',Georgia,"$22,500",fiberglass,monohull,cruiser,masthead sloop,1,excellent
9780,Jeanneau Espace 990,06-Jun-2022,1986,32',',',Outside United States,"$26,000",fiberglass,monohull,cruiser,,2,good
9781,MacGregor 26E,06-Jun-2022,1986,26',7'6',2',Missouri,"$10,900",fiberglass,monohull,cruiser,,,excellent
9782,catalina 25,06-Jun-2022,1987,25',8.5',2.5',Ohio,"$6,500",fiberglass,monohull,cruiser,masthead sloop,,
9783,Catalina MK1,06-Jun-2022,1988,36',11'11',5'10',California,"$39,900",fiberglass,monohull,cruiser,,,excellent
9784,Hunter 25 Day Sailor,06-Jun-2022,2006,25',8',2',New Jersey,"$26,995",fiberglass,monohull,cruiser,,,excellent
9785,Dickerson Farr 37,07-Jun-2022,1983,37.5',12',7',Massachusetts,"$35,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
9786,Pearson 365,07-Jun-2022,1981,36.5',11.42',4.5',Florida,"$44,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
9787,Hunter 41,05-Jun-2022,2004,41',',',Florida,"$105,000",fiberglass,monohull,cruiser,,2,good
9788,Custom Vertue gaff cutter,05-Jun-2022,1991,26',8',4',Outside United States,"$12,000",fiberglass,monohull,cruiser,cutter,2,
9789,Pearson 39 Yawl,05-Jun-2022,1974,39',11.67',4.64',Florida,"$27,500",fiberglass,monohull,cruiser,yawl,1,good
9790,Hunter JY15,05-Jun-2022,2005,15',5.83',0.5',Massachusetts,"$1,250",composite,monohull,dinghy,fractional sloop,,
9791,Beneteau Oceanis 473,05-Jun-2022,2005,47',14',6',Outside United States,"$134,500",fiberglass,monohull,cruiser,masthead sloop,,
9792,Catalina C30,05-Jun-2022,1977,30',10.83',5.25',Florida,"$20,000",fiberglass,monohull,daysailer,masthead sloop,1,good
9793,Laser Laser,05-Jun-2022,2006,14',',',Florida,"$4,500",fiberglass,monohull,racer,,,excellent
9794,Nautor swan Swan 44 13,05-Jun-2022,1973,44',12.5',7.3',Outside United States,"$129,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
9795,Tartan 30T,05-Jun-2022,1976,30',8',5'6',Michigan,"$6,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
9796,Pearson Tillotson J24,05-Jun-2022,1978,24',',',Massachusetts,"$2,000",fiberglass,monohull,cruiser,masthead sloop,,good
9797,Hartley 12.2,06-Jun-2022,2019,12.2',5',0.5',Connecticut,"$6,800",other,monohull,dinghy,fractional sloop,,new
9798,Custom Sailboat Trailer,05-Jun-2022,2000,25',8',5',Virginia,"$3,500",steel,monohull,racer/cruiser,other,,excellent
9799,cat hulls ,04-Jun-2022,,24',',',Pennsylvania,$0,wood,catamaran,cruiser,,,good
9800,Bristol 34,29-Jan-2022,1972,34',10.5',5.5',New York,"$16,000",fiberglass,monohull,cruiser,masthead sloop,1,good
9801,Morgan 382,29-Jan-2022,1980,38',12',5',Florida,"$29,900",fiberglass,monohull,cruiser,masthead sloop,1,good
9802,Hunter 39 Wing Keel,28-Jan-2022,2011,39',12'11',5',Maryland,"$133,000",fiberglass,monohull,cruiser,,,excellent
9803,Catalina 250,27-Jan-2022,1998,25',8.5',',California,"$22,450",fiberglass,monohull,cruiser,masthead sloop,,excellent
9804,C&amp;C 33 MKI,27-Jan-2022,1976,33',10.5',5.5',Outside United States,"$16,869",fiberglass,monohull,cruiser,,,
9805,Bavaria 42,27-Jan-2022,2000,42',13',4'9',Florida,"$110,000",fiberglass,monohull,cruiser,masthead sloop,,
9806,Corbin 39,27-Jan-2022,1985,39',12',5.6',Florida,"$50,000",fiberglass,monohull,daysailer,cutter,2,good
9807,SOCA Sailboats Henderson 30,28-Jan-2022,1998,30',9.6',7',Florida,"$29,900",fiberglass,monohull,racer,fractional sloop,1,excellent
9808,Islander Wayfarer,26-Jan-2022,1966,32',10',4.5',,"$25,000",fiberglass,monohull,cruiser,masthead sloop,1,good
9809,Wharram Tiki 26',25-Jan-2022,2000,26',10',1.5',Florida,"$8,500",wood,catamaran,daysailer,other,2,good
9810, 2.4 Meter Norlin MRK lll Sailboats,25-Jan-2022,90,14',3',4',Florida,"$7,000",fiberglass,monohull,racer,fractional sloop,0,good
9811,Custom ,25-Jan-2022,2013,64'0'',32'0'',4'0'',Florida,"$1,950,000",fiberglass,catamaran,cruiser,,3,
9812,Hans Christian 38T,04-Apr-2022,1978,38',12.33',6',,"$85,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
9813,Beneteau First 44.7,25-Jan-2022,2006,44',13'1'',8' 6'',California,"$149,000",fiberglass,monohull,cruiser,,3,
9814,Catalina 30,24-Jan-2022,1987,30',11',5',Massachusetts,"$16,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
9815,Ericson Yachts 27,24-Jan-2022,1977,26.9',9',3.11',Illinois,"$8,000",fiberglass,monohull,cruiser,masthead sloop,2,good
9816,Brewer 44 Brewer 44,24-Jan-2022,1988,44',13'6',5'9'',Florida,"$155,000",fiberglass,monohull,cruiser,cutter,3,good
9817,Dufour 410 Grand Large,28-Mar-2022,2015,41',13.75',6.11',Outside United States,"$165,000",fiberglass,monohull,cruiser,,3,excellent
9818,Oday 25,23-Jan-2022,1982,25',8',2.9',New Jersey,"$4,200",fiberglass,monohull,daysailer,masthead sloop,1,good
9819,InterYacht Italy Yatimer 50 / Ketch,24-Jan-2022,1976,50',14.8',7',Texas,"$15,000",fiberglass,monohull,cruiser,ketch,5,project boat
9820,Cal 27,23-Jan-2022,1977,27',9.25',4.25',Illinois,"$7,500",fiberglass,monohull,racer/cruiser,masthead sloop,,good
9821,O'Day 27,23-Jan-2022,1979,27',9',4',Illinois,"$7,000",fiberglass,monohull,cruiser,masthead sloop,,
9822,Coronado Yachts 23,23-Jan-2022,1972,22.58',7.75',3.17',Illinois,"$3,000",fiberglass,monohull,racer/cruiser,masthead sloop,,
9823,Irwin Yachts 30,23-Jan-2022,1977,30',10.2',5',Illinois,"$7,500",fiberglass,monohull,cruiser,masthead sloop,,
9824,Caliber Yachts 28,23-Jan-2022,1987,27.5',10.83',3.92',Illinois,"$16,500",fiberglass,monohull,cruiser,masthead sloop,,
9825,Pearson Yachts 323,23-Jan-2022,1977,32.3',10',4.5',Illinois,"$22,000",fiberglass,monohull,cruiser,masthead sloop,,good
9826,Voyager ,24-Jan-2022,1981,26',8',3',Florida,"$16,000",fiberglass,monohull,cruiser,cutter,1,excellent
9827,Hobie Cat 14,22-Jan-2022,1991,14',6.5',0.8',Texas,"$2,000",fiberglass,catamaran,daysailer,cat boat,,good
