,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
1517,C&C 41,41',13',6',1987,racer/cruiser,fiberglass  monohull,"Worton Creek, Maryland","$65,000",24-Jun-2020,1 diesel inboard
0,Catalina 250,26.11',7.8',5.9',2011,daysailer,fiberglass  monohull,"Dana Point Harbor, California","$20,999",05-May-2021,1 gas outboard
21,catalina 30T,30',11',5',1988,cruiser,fiberglass  monohull,"Scarborough, Maine","$17,500",04-May-2021,1 diesel inboard
41,Jeanneau 44 DS Deck Salon,44',13'10',7'2',2017,cruiser,fiberglass  monohull,"San Diego, California","$345,000",04-May-2021,1 diesel inboard
61,C&C MK1,30',10',5',1979,cruiser,fiberglass  monohull,"Nyack, New York","$16,500",04-May-2021,1 diesel inboard
81,Oday Rhodes 19,19',,,1972,daysailer,fiberglass  monohull,"Weathersfield, Vermont","$8,000",04-May-2021, gas inboard
101,Beneteau oceanus,31',11.9',4.9',2009,cruiser,fiberglass  monohull,"Georgetown, South Carolina","$59,000",04-May-2021,1 diesel inboard
121,Morgan M27,27',10',4.5',1976,racer/cruiser,fiberglass  monohull,"Black Rock, Connecticut","$5,900",04-May-2021,1 gas outboard
141,Gemini 3400,34',14',3',1995,,fiberglass  catamaran,"Key west, Florida","$68,000",04-May-2021,1 gas outboard
159,Laser Performance Full Rig,13.75',47',,1984,dinghy,fiberglass  monohull,"Larchmont, New York",$500,04-May-2021, gas inboard
179,Hunter 40.5,40',13'5',4'10',1994,cruiser,fiberglass  monohull,"Rock Hall, Maryland","$75,000",03-May-2021,1 diesel inboard
199,Standfast One Off Admiralscupper 1985 and 1987,40',,,1985,racer,composite  monohull,"Lbeck Germany, Outside United States","$70,000",03-May-2021,1 diesel inboard
219,Sabre 28 Sloop,28',9',4'3',1984,cruiser,fiberglass  monohull,"Belfast, Maine","$11,000",03-May-2021,1 gas inboard
239,Allied Luders 33 Sloop,33',10',5',1968,cruiser,fiberglass  monohull,"Port Charlotte, Florida","$19,950",03-May-2021,1 diesel inboard
259,Ovington 29er,14',,,2016,dinghy,fiberglass  monohull,"San Francisco Bay Area, California","$9,800",02-May-2021,
277,Catalina 320,32.6',12',4.3',1998,racer/cruiser,fiberglass  monohull,"Cornelius, North Carolina","$54,900",01-May-2021,1 diesel inboard
297,Hutchins Picnic Cat,14',6'6',38',2006,daysailer,fiberglass  monohull,"Laytonsville, Maryland","$6,500",01-May-2021,1 gas outboard
317,Stilleto 27,27',,1',1981,daysailer,fiberglass  catamaran,"Leonardtown, Maryland","$17,500",01-May-2021,1 gas outboard
337,Bruce Roberts 37,37',12.2',4',1991,cruiser,fiberglass  monohull,"Deltaville, Virginia","$74,000",30-Apr-2021,1 diesel inboard
375,Beneteau Oceanis 45,45',14.9',7.5',2014,cruiser,fiberglass  monohull,"Saint Martin, Outside United States","$210,000",30-Apr-2021,1 diesel inboard
395,Catalina Capri,18',7.5',3.5',1996,daysailer,fiberglass  monohull,"Lake Norman, North Carolina","$4,500",30-Apr-2021,1 gas outboard
415,Morgan Rigetown Sloop,38',10.5',5',,cruiser,fiberglass  monohull,"marina del rey, California","$38,500",30-Apr-2021,1 diesel inboard
433,C&C Tall Rig,40',12',7',1981,motorsailer,fiberglass  monohull,"Vancouver British Columbia Canada, Outside United States","$113,879",30-Apr-2021,
451,CNB Lagoon 46,46',26',4'5',2021,cruiser,fiberglass  catamaran,"FRANCE, Outside United States","$799,000",30-Apr-2021,2 diesel inboard
471,Ensenada Homebuilt Ken Hankinson Design,25'4',7'6',,1993,cruiser,fiberglass  monohull,"Ladysmith BC Canada, Outside United States","$12,000",30-Apr-2021,1 diesel inboard
491,Catalina 30 TR,30',10'10',5-3',1979,racer/cruiser,fiberglass  monohull,"Corneilus, North Carolina","$17,795",29-Apr-2021,1 gas inboard
511,Beneteau 36.7,36',11',7'2',2003,racer/cruiser,fiberglass  monohull,"Detroit, Michigan","$85,000",29-Apr-2021,1 diesel inboard
531,Catalina 34 MKII,34',11.9',4.3',2005,cruiser,fiberglass  monohull,"North Kingstown, Rhode Island","$87,500",29-Apr-2021,1 diesel inboard
551,Endeavour 37 - B,37',,4.6',1978,cruiser,fiberglass  monohull,"St Thomas, ","$35,000",29-Apr-2021,1 diesel inboard
571,Catalina 30 Tall Rig,30',11',4'7',1985,cruiser,fiberglass  monohull,"Earleville, Maryland","$20,000",28-Apr-2021, diesel inboard
605,Lagoon 450 S,45',25.9',4.11',2016,cruiser,fiberglass  catamaran,"Saint Martin, Outside United States","$450,000",28-Apr-2021,2 diesel inboard
625,Lagoon 450F,45',25.9',4.3',2013,cruiser,fiberglass  monohull,"Saint Martin, Outside United States","$425,000",28-Apr-2021,2 diesel inboard
645,Lagoon 42,42',25'3',4.1',2016,cruiser,fiberglass  monohull,"Saint Martin, Outside United States","$410,000",28-Apr-2021,2 gas inboard
665,C&C 24,24',8'9',4',,cruiser,fiberglass  monohull,"Mallets Bay, Vermont","$8,500",28-Apr-2021,1 gas outboard
683,Irwin Citation,28'5',9',4'6',1975,cruiser,fiberglass  monohull,"Gordons Marine Lakeside Dr Mayfield, New York","$8,900",28-Apr-2021,1 gas inboard
703,Catalina 18 MK II,18',7'7',2'4',2011,cruiser,fiberglass  monohull,"New Buffalo, Michigan","$15,000",27-Apr-2021,
721,Tartan 30,30',10',5',1972,cruiser,fiberglass  monohull,"St Petersburg, Florida","$14,900",27-Apr-2021,1 diesel inboard
741,LeCompte Medalist Sloop,33',10',5',1963,cruiser,fiberglass  monohull,"Stratford, Connecticut","$20,000",27-Apr-2021,1 diesel inboard
761,Tartan Tartan10,33',9',5.8',1981,racer,fiberglass  monohull,"West Palm Beach, Florida","$13,800",27-Apr-2021,1 diesel inboard
781,Freya F39,39',11',6',1978,cruiser,fiberglass  monohull,"Brisbane, California","$49,000",26-Apr-2021,1 diesel inboard
801,Hunter Legend 35,36',12',4.6',1990,cruiser,fiberglass  monohull,"Longport, New Jersey","$42,000",11-May-2022,1 diesel inboard
821,Beneteau First Class 12,39.33',12.47',6.89',1988,racer,fiberglass  monohull,"Monterey, California","$58,000",26-Apr-2021,1 diesel inboard
841,Karmac KM 30,29'5',9'7',3'11',1980,cruiser,fiberglass  monohull,"Grenada, ","$27,000",26-Apr-2021,1 diesel inboard
861,Pearson Pearson 30,30',9.5',5',1973,racer/cruiser,fiberglass  monohull,"RCR Yachts Outer Harbor, New York","$12,500",26-Apr-2021,1 gas inboard
881,Hobie 18,18',8',2.5',1980,daysailer,fiberglass  catamaran,"Stamford, Connecticut","$65,000",26-Apr-2021,
899,American Mariner,24',8',2'4',1977,cruiser,fiberglass  monohull,"Baileys Harbor, Wisconsin","$5,000",26-Apr-2021, gas outboard
919,Aleutian 51 KETCH,51',,,1977,motorsailer,fiberglass  monohull,"Mazatlan Mexico, ","$54,900",26-Apr-2021,1 diesel inboard
939,SOLD 32,32',10.5',4',1983,cruiser,fiberglass  monohull,"Baltimore, Maryland","$23,000",26-Apr-2021,1 diesel inboard
959,Gilbert Marine Gib'Sea 372M Masthead Sloop,37.6',11.5',5',1990,cruiser,fiberglass  monohull,"Belfast, Maine","$37,500",26-Apr-2021,1 diesel inboard
979,Catalina 380,38',12.33',5.4',2000,cruiser,fiberglass  monohull,"Colchester, Vermont","$88,000",25-Apr-2021,1 diesel inboard
999,Hobie 33,33',8',5.5',1984,racer/cruiser,fiberglass  monohull,"Grand Lake, Oklahoma","$19,900",25-Apr-2021,1 gas outboard
1019,Morgan 461 Center Cockpit Sloop,46.5',13.5',6',1982,cruiser,fiberglass  monohull,"Muskegon, Michigan","$59,900",13-Feb-2022,1 diesel inboard
1039,Rhodes 22,22',8',2',1988,daysailer,fiberglass  monohull,"Westport, Massachusetts","$4,000",25-Apr-2021, gas outboard
1059,Vanguard Red Dragon,7.9',3.8',2.9',2004,dinghy,fiberglass  ,"Toms River, New Jersey","$1,475",24-Apr-2021,
1077,Windrider 17 Sold,17',13',1.5',2003,daysailer,composite  monohull,"Ponchatoula, Louisiana","$5,500",24-Apr-2021,1 gas outboard
1115,Nelson Marek sailboat Stars & Stripes,40',12',7.9',1984,racer/cruiser,fiberglass  monohull,"Newport, Rhode Island","$48,000",23-Apr-2021,1 diesel inboard
1135,Edey & Duff Stuart Knockabout,28',6'5',3'6',1993,racer/cruiser,fiberglass  monohull,"Beaufort, North Carolina","$50,000",23-Apr-2021,
1153,Hutchins 27 Com PAC Sailboat,27',9 6',36',1995,cruiser,fiberglass  monohull,"St Petersburg, Florida","$22,500",23-Apr-2021,1 diesel inboard
1173,Catalina 30 MK11 wing keel,30',11',4',1989,cruiser,fiberglass  monohull,"Lake Jackson, Texas","$24,000",23-Apr-2021, diesel inboard
1193,Jeantot Privilege 39,39',22',3.3',1992,racer/cruiser,fiberglass  catamaran,"Pompano Beach, Florida","$98,000",22-Apr-2021,2 diesel inboard
1213,Catalina 36 TR,36'4',11'11',5'5',1984,cruiser,fiberglass  monohull,"City Island, New York","$33,900",22-Apr-2021,1 diesel inboard
1233,O Day  Stuart Mariner Mariner,19',,,1969,daysailer,fiberglass  monohull,"Grand Rapids, Michigan","$3,500",21-Apr-2021,1 gas outboard
1253,laser laser- full rig,13',4',.25',1998,racer,fiberglass  monohull,"white bear lake, Minnesota","$2,800",21-Apr-2021,0 gas inboard
1273,McGregor 25',25',,,1984,cruiser,fiberglass  monohull,"NASHVILLE, Tennessee","$3,500",21-Apr-2021,1 gas outboard
1293,albin Vega 27,27',,,,cruiser,fiberglass  monohull,"saint marys, Georgia","$8,000",21-Apr-2021, gas inboard
1311,Whitby 42 Ketch,42',14',5',1975,cruiser,fiberglass  monohull,"League City, Texas","$55,000",21-Apr-2021,1 diesel inboard
1331,Newport Boats suprise 15,14'7',5'3',3'10',,daysailer,fiberglass  monohull,"Brockport, Pennsylvania","$1,500",20-Apr-2021,0 gas inboard
1349,Catalina 30 Mk III,30',11',5.25',1995,cruiser,fiberglass  monohull,"Chicago, Illinois","$38,000",20-Apr-2021,1 diesel inboard
1369,Catalina 27,27',8.8',4.3',1975,cruiser,fiberglass  monohull,"Captains Cove Bridgeport CT, Connecticut","$4,001",20-Apr-2021,1 gas inboard
1389,HUNTER 170,16'10',"4""10'",7'',2008,daysailer,fiberglass  monohull,"BURT LAKE PETOSKEY, Michigan","$6,000",20-Apr-2021,0 other inboard
1409,fulcrum speedworks ufo dingy catamaaran,10',5.5',3.8',2018,dinghy,fiberglass  catamaran,"west palm beach, Florida","$6,800",20-Apr-2021,
1427,Ovington 29er,14.4',5.7',,2016,dinghy,fiberglass  monohull,"Miami, Florida","$9,300",19-Apr-2021,
1445,Vagabond 47 Ketch,47',13.5',5.5',1980,cruiser,fiberglass  monohull,"Tonowanda, New York","$160,000",19-Apr-2021,1 gas inboard
1465,Endeavour 54' Pilothouse Motorsailer,54',16',4.11',1990,motorsailer,fiberglass  monohull,"Hilton Head, South Carolina","$75,000",19-Apr-2021,2 diesel inboard
1503,Beneteau Oceanus,37',13',4'7',2011,cruiser,fiberglass  monohull,"Port Orange, Florida","$129,000",19-Apr-2021,1 diesel inboard
1523,RS Feva,12'',4' 8',3',2012,dinghy,composite  monohull,"Brick, New Jersey","$5,000",19-Apr-2021,
0,Nacra 5.2,18',,,,cruiser,fiberglass  catamaran,"Wabaman Lake near Edmonton Alberta Canada, Outside United States","$2,100",10-Jun-2018, gas inboard
19,ODAY 222,22',7',2',1986,cruiser,fiberglass  monohull,"TAUNTON, Massachusetts","$4,100",10-Jun-2018, gas outboard
39,Catalina Capri 14.2,15',6.2',3',1984,daysailer,fiberglass  monohull,"Treasure Island, Florida","$2,500",10-Jun-2018, gas inboard
59,Catalina C27,27',8',3.5',1979,cruiser,fiberglass  monohull,"Charleston, South Carolina","$12,500",10-Jun-2018,1 diesel inboard
79,Beneteau Oceanis 38.1,38',13',5.5',2017,cruiser,fiberglass  monohull,"Lake City, Minnesota","$278,000",09-Jun-2018,1 diesel inboard
99,pearson 10 meter,33',11',5.9',1975,racer/cruiser,fiberglass  monohull,"Key Biscayne, Florida","$22,500",09-Jun-2018,1 diesel inboard
119,Endeavour E-37A Sold,37.5',11.5',4.5',1982,cruiser,fiberglass  monohull,"Slidell, Louisiana","$19,900",09-Jun-2018,1 diesel inboard
139,Beneteau Cyclades 43.3,43.3',14.5',6.3',2006,cruiser,fiberglass  monohull,,"$149,000",08-Jun-2018,1 diesel inboard
157, Pilot house,41',12',6',1972,cruiser,wood  monohull,"Richmond BC Canada, Outside United States","$65,000",08-Jun-2018,1 diesel inboard
177,Hunter 31,31',11',4',1987,cruiser,fiberglass  monohull,"Bayville, New Jersey","$13,000",08-Jun-2018,1 diesel inboard
197,Macgregor 26X,26',,,2003,cruiser,fiberglass  monohull,"Kalamazoo, Michigan","$17,500",08-Jun-2018,1 gas inboard
217,Pearson 33,33',9',4'-7'',1970,cruiser,fiberglass  monohull,"Dedham, Maine","$7,600",08-Jun-2018,1 gas inboard
237,Catalina 27,27',9',4.5',1980,daysailer,fiberglass  monohull,"South Portland, Maine","$6,500",08-Jun-2018,1 gas inboard
257,Hunter Cherubini,30',10',5',1981,,fiberglass  monohull,"Indian Harbor Beach, Florida","$13,500",07-Jun-2018,1 diesel inboard
275,Catalina 30,30',10'10',5'6',1979,cruiser,fiberglass  monohull,"Eliot, Maine","$9,000",07-Jun-2018,1 gas inboard
295,Pearson 40,40',12.5',4.33',1980,racer/cruiser,fiberglass  monohull,"Minnesott Beach, North Carolina","$57,000",07-Jun-2018,1 diesel inboard
315,C&C Encounter,26',10',3.92',1978,cruiser,fiberglass  monohull,"Newcastle, Maine","$3,500",06-Jun-2018,1 diesel inboard
335,Vangaurd Laser,13',4.5',2.9',2003,dinghy,fiberglass  monohull,"Savannah, Georgia","$3,000",06-Jun-2018,
353,Goman Express 30,30',10',5',1982,racer/cruiser,fiberglass  monohull,"Edmonton Alberta Canada, Outside United States","$20,000",06-Jun-2018,1 diesel inboard
373,Ericson MKII,35',10',4-11',1976,racer/cruiser,fiberglass  monohull,"Port Huron, Michigan","$10,750",06-Jun-2018,1 diesel inboard
393,Cheoy Lee Luders 30,30',9.2',4.9',1978,cruiser,fiberglass  monohull,"Norfolk, Virginia","$11,900",16-Oct-2021,1 diesel inboard
413,Beneteau Oceanis 343,35',11.5',4'9''',2006,daysailer,fiberglass  monohull,"Plattsburg, New York","$69,000",05-Jun-2018,1 diesel inboard
433,Freedom 33 Center Board Cat Ketch,33',11',3.5',1980,cruiser,fiberglass  monohull,"YUCATAN PROGRESO, Outside United States","$29,000",05-Jun-2018,1 diesel inboard
453,Tartan Pride 270,27',8.5',4.92',1985,racer,fiberglass  monohull,"Coldspring, Texas","$12,500",05-Jun-2018,1 gas outboard
473,Ranger Ranger,26',,,1974,daysailer,other  monohull,"Ypsilanti, Michigan","$2,500",05-Jun-2018, gas outboard
493,O'Day 25,25',9',,1976,daysailer,fiberglass  monohull,"Carolina Beach, North Carolina","$6,500",05-Jun-2018,1 gas outboard
531,Allied Seawind,30',9.25',4.2',1969,cruiser,fiberglass  monohull,"Barcelona Harbor Westfield, New York","$9,000",05-Jun-2018,0 gas inboard
551,C&C Cruiser,24',8',4',1976,cruiser,fiberglass  monohull,"Rye, New York","$3,000",05-Jun-2018,1 gas outboard
571,Bristol 26,26',8',3',1969,cruiser,fiberglass  monohull,"Philadelphia, Pennsylvania","$11,000",05-Jun-2018, gas outboard
591,Wellcraft Starwind,26'8',9'8',3'7',1985,cruiser,fiberglass  monohull,"Bristol, Maine","$7,900",05-Jun-2018,1 diesel inboard
611,Catalina C-22,22',,,1976,daysailer,fiberglass  monohull,"Laingsburg, Michigan","$3,500",04-Jun-2018,1 gas outboard
631,Jeantot Marine Privilege 39,39',21',3.7',1990,cruiser,fiberglass  catamaran,"Fort pierce, Florida","$95,000",04-Jun-2018,2 diesel inboard
651,Balboa Coastal Cruiser,26',7' 11',5',1975,cruiser,fiberglass  monohull,"Atwood Lake Region Ohio, Ohio","$4,000",04-Jun-2018,1 gas outboard
671,Catana 582 Ocean Class,58',29'9',4',2002,cruiser,composite  catamaran,"New York City, New York","$925,000",04-Jun-2018,2 diesel inboard
691,Clark TL,17',,,1973,dinghy,fiberglass  monohull,"Redondo Beach, California","$1,000",03-Jun-2018,
709,Morgan Classic,41',,,1989,,fiberglass  monohull,"Lake Erie, Ohio","$99,900",03-Jun-2018,1 diesel inboard
727,Winner ,8',,,2008,dinghy,fiberglass  monohull,"Woodbridge CT, Connecticut","$1,800",03-Jun-2018,
745,Flying Scot 4438,19',,,1988,daysailer,fiberglass  monohull,"Harvey Cedars, New Jersey","$5,300",03-Jun-2018,1 gas outboard
775,Corsair F24 Mk1 Sold,24',18',1',1993,racer/cruiser,fiberglass  trimaran,"St George, Utah","$22,000",03-Jun-2018,1 gas outboard
795,tartan sloop,30',10',5',1976,daysailer,fiberglass  monohull,"Portland, Maine","$8,500",03-Jun-2018, gas inboard
815,Laser MKII ,',,,2017,dinghy,fiberglass  monohull,"Allen, Texas","$7,800",02-Jun-2018,
833,cheoy lee Luders,36',10',5.5',1972,cruiser,fiberglass  monohull,"Brooklyn, New York","$25,000",02-Jun-2018,1 diesel inboard
853,CHANTIER DE LA PLAINE THYRA 118,38',12',6',1989,cruiser,steel  monohull,"QLD AUSTRALIA, ","$99,000",02-Jun-2018,1 diesel inboard
873,cornado 23,23',,2',1973,daysailer,fiberglass  monohull,"St Augustine, Florida","$2,300",02-Jun-2018,1 gas outboard
893,Clipper Marine 21,21',,,,daysailer,fiberglass  monohull,"Glendora, California",$600,02-Jun-2018,0 other outboard
911,Van de Stadt Sloop,17',7',1 - 4',1981,daysailer,fiberglass  monohull,"Narragansett, Rhode Island","$2,500",02-Jun-2018,1 gas outboard
931,Freedom Cat Ketch,44',13',4'6',1983,cruiser,fiberglass  monohull,"Port Charlotte, Florida","$68,800",01-Jun-2018,1 diesel inboard
951,Catalina 250,25',,,2004,cruiser,fiberglass  monohull,"Miami, Florida","$9,000",01-Jun-2018,1 gas outboard
971,C&C Viking 28,28',8',5.5',1972,racer/cruiser,fiberglass  monohull,,"$2,000",01-Jun-2018,1 gas inboard
989,Hunter Passage 42,42',14',4.8',1995,cruiser,fiberglass  monohull,"Gulfport, Mississippi","$99,900",31-May-2018,1 diesel inboard
1009,Seme Fethiye Schooner/Gulet,100',25',8',2010,cruiser,other  monohull,"Abaco Bahamas, Outside United States","$850,000",31-May-2018,1 diesel inboard
1029,freedom center board 33 35uk,33',11',3.6',1980,cruiser,fiberglass  monohull,"Isla mujeresprogreso, Florida","$29,000",31-May-2018,1 diesel inboard
1049,Catalina Catalina 30 Tall rig,30',,5.6',1980,cruiser,fiberglass  monohull,"hooboken, New Jersey","$11,500",30-May-2018,1 diesel inboard
1069,Bavaria B44,45.70',13.9',6.4',2003,cruiser,fiberglass  ,"Fajardo Puerto Rico, Outside United States","$140,000",30-May-2018,1 diesel inboard
1089,Laplante Boats Tillsonburg 26' Seabird,26',9',3.5',2005,cruiser,fiberglass  monohull,"Tillsonburg Ontario Canada, Outside United States","$10,000",30-May-2018,1 gas outboard
1109,laser Laser,',,,2001,dinghy,fiberglass  ,"St Petersburg, Florida","$2,400",30-May-2018,
1127,Columbia 38,38',12',6',1967,cruiser,fiberglass  monohull,"San Diego, California","$19,500",30-May-2018,1 gas inboard
1147,Dufour 27,27',9.2',5.8',1975,cruiser,fiberglass  monohull,"Lake Champlain NY, New York","$11,448",30-May-2018,1 diesel inboard
1167,Hunter Cherubini 33,33',9',4',1980,cruiser,fiberglass  monohull,"Hyde Park, New York","$12,000",30-May-2018,1 diesel inboard
1187,Nacra 5.0,16.6',8',2',1984,cruiser,fiberglass  catamaran,"Honeoye Lake, New York","$2,700",29-May-2018, gas inboard
1207,Precision P21,21',8' 3'',1' 9'',2010,cruiser,fiberglass  monohull,"Fairfield, Connecticut","$19,900",29-May-2018,1 gas outboard
1227,J 22,22',8',3.5',86,racer,fiberglass  monohull,"Mid- Michigan, Michigan","$6,800",29-May-2018,
1245,Nacra 15,15',10',,2017,racer,fiberglass  catamaran,"Long Beach CA, California","$15,000",29-May-2018,
1263,vanguard 15,15',,,,dinghy,fiberglass  monohull,"jamestown, Rhode Island","$1,500",28-May-2018, gas inboard
1281,American Fiberglass 16' Daysailer,16'',5'8',,1978,daysailer,fiberglass  monohull,"Oakland, Maryland","$1,950",28-May-2018,
1299,Hobie Hobie Cat,16',,,1977,daysailer,fiberglass  catamaran,"Fullerton, California","$1,200",28-May-2018,
1317,Tillotsen J27,27',,"4'9""'",1985,racer/cruiser,fiberglass  monohull,,"$13,000",28-May-2018, gas outboard
1335,Northshore southerly 115,37',11.8',6',1988,motorsailer,fiberglass  monohull,"Tel Aviv israel, Outside United States","$70,000",28-May-2018,1 diesel inboard
1355,Alcort Sunfish,13.9',,,2004,daysailer,fiberglass  monohull,"Charleston, South Carolina","$2,500",28-May-2018, gas inboard
1375,Hunter 1981 27,27',,,1981,cruiser,fiberglass  monohull,"Key Biscayne, Florida","$4,500",27-May-2018,1 diesel inboard
1395,Merit Marine Merit 28 MOD,27.9'',9.2'',5.9'',1986,racer,fiberglass  monohull,"Solomons Island, Maryland","$21,000",27-May-2018,1 gas inboard
1415,Blue Water Boat Works Blackwatch gaff cat 18,18'-6',8'',24',1981,cruiser,fiberglass  monohull,"Pirates Cove, Alabama","$15,000",27-May-2018,1 gas outboard
1435,grampian 28,28',9.6',4',1975,racer/cruiser,fiberglass  monohull,"Port Dover Ontario, Michigan","$12,900",26-May-2018,1 diesel inboard
1455,Hunter 34,34',,,1986,daysailer,fiberglass  monohull,"Kemah, Texas","$29,878",26-May-2018,1 diesel inboard
1475,Ranger 33,33',13',,1976,daysailer,fiberglass  monohull,"Kemah, Texas","$18,995",26-May-2018,1 diesel inboard
1495,Flying Scot ,19',6' 7',4',2008,daysailer,fiberglass  monohull,"BARNEGAT, New Jersey","$9,500",26-May-2018,
1513,Hunter 410,42',14',5',1998,cruiser,fiberglass  monohull,"Oyster Bay, New York","$129,999",26-May-2018,1 diesel inboard
0,Watkins 29,29',10'4',4'',1984,daysailer,fiberglass  monohull,"New Buffallo, Michigan","$15,000",22-Jun-2015,1 diesel inboard
21,CLark San Juan 21 MK II,21',,1.5',1979,daysailer,fiberglass  monohull,"Fairhope, Alabama","$4,000",21-Jun-2015,0 gas outboard
41,Morgan 250,25',8',2'9',1975,cruiser,fiberglass  monohull,"call, Minnesota","$7,000",21-Jun-2015,1 gas outboard
61,Catalina psxps,15',6',3',1970,racer,fiberglass  monohull,"wenathee, Washington","$1,800",21-Jun-2015,0 gas inboard
81,C&C 27 Mark V,26'6',9'3',3'6',1986,racer/cruiser,fiberglass  monohull,"Pemaquid Harbor Bristol, Maine","$12,000",21-Jun-2015,1 diesel inboard
101,C&C MK III,27',9.2',4.6',1975,racer/cruiser,fiberglass  monohull,"City Island, New York","$7,500",20-Jun-2015,1 diesel inboard
121,Stiletto 23,23',14',,1985,racer/cruiser,composite  catamaran,"Buffalo, New York","$8,900",20-Jun-2015, gas outboard
141,Dufour T7,22',8'6',1',1980,racer/cruiser,fiberglass  monohull,"Moon, Virginia","$6,500",20-Jun-2015, gas outboard
161,Morgan Outislander,30',,3'4',1977,other,fiberglass  monohull,,"$13,500",20-Jun-2015, diesel inboard
179,Young Sun 1979,43',12'10',5'8',1979,cruiser,fiberglass  monohull,"Hampton, Virginia","$64,000",19-Jun-2015,1 diesel inboard
199,MFG phoenix,18',7'11',1',1974,racer,fiberglass  catamaran,"Huntingdon, Pennsylvania",$600,19-Jun-2015,
217,Tartan ,34',,,1978,cruiser,fiberglass  monohull,,"$25,000",18-Jun-2015, gas inboard
235,Pearson 26,26',8.7',4',1978,cruiser,fiberglass  monohull,"Lighthouse Point, Florida","$6,995",17-Jun-2015,1 gas outboard
255,Lyle Hess Lyle Hess 24/Renegade,24',8-9',4-8',1973,cruiser,wood  monohull,"Seattle, Washington","$35,000",17-Jun-2015,
273,Douglas Mcleod THISTLE,17',6'6',4.5',1969,racer/cruiser,fiberglass  monohull,"Pell City, Alabama","$1,250",16-Jun-2015, gas inboard
293,Chris Craft Shields,30',8',4',1974,racer/cruiser,fiberglass  monohull,"Sail Newport, Rhode Island","$20,000",16-Jun-2015,
311,Cape Cod  Harding Herreshoff 12,16',8',3.6',1982,daysailer,fiberglass  monohull,"Standish, Maine","$18,500",16-Jun-2015, gas inboard
331,McLaughlin Opti,7',4',,2012,dinghy,fiberglass  monohull,"Greenwich, Connecticut","$1,700",15-Jun-2015,0 other inboard
351,Irwin Citation,30',10-2',5-4',1977,cruiser,fiberglass  monohull,"Catskill, New York","$13,900",15-Jun-2015,1 diesel inboard
371,Catalina ,25',8',,1979,cruiser,fiberglass  monohull,"VenturaOxnard, California","$7,900",15-Jun-2015,1 gas outboard
391,Pearson 365,36.5',11' 6',4' 6',1978,cruiser,fiberglass  monohull,"Brownell Storage at Mattapoisett, Massachusetts","$29,500",15-Jun-2015,1 diesel inboard
431,Pearson P39,39.3',12.1',6',1988,cruiser,fiberglass  monohull,"Sandusky Yacht Club, Ohio","$84,900",15-Jun-2015,1 diesel inboard
451,Island Packet 38,38',13',5',1993,cruiser,fiberglass  monohull,"Charleston, South Carolina","$135,000",15-Jun-2015,1 diesel inboard
471,Ericson 32-2,31'7',9'8',5',1978,cruiser,fiberglass  monohull,"Belhaven, North Carolina","$12,000",14-Jun-2015,1 diesel inboard
491,Seidelman S299,30',11',5'5',1979,cruiser,fiberglass  monohull,"Wakefield, Rhode Island","$8,300",14-Jun-2015,0 diesel inboard
511,Capital N28,28',9'6',4.5'',1975,racer/cruiser,fiberglass  monohull,"LAS VEGAS, Nevada","$5,500",14-Jun-2015,1 gas inboard
531,New Zealand Ferro Cement Works Donovan Amri,40',11.6',6',1994,cruiser,other  monohull,"Piriapolis Uruguay, ","$49,000",13-Jun-2015,1 diesel inboard
551,Catalina Catalina 27,27',9',4',1977,cruiser,fiberglass  monohull,"Menasha, Wisconsin","$3,000",18-May-2022,1 gas inboard
571,Nordica Boats Nordica 20,20',7.67',3.0',1976,cruiser,fiberglass  monohull,"Anderson, South Carolina","$2,000",13-Jun-2015,
589,Catalina 22,22',,5',1976,racer/cruiser,fiberglass  monohull,"Alum Creek Marina, Ohio","$4,000",11-Jun-2015,1 gas outboard
609,Grampian 26,26',"7'4""'",4.5',1968,daysailer,fiberglass  monohull,"blue hill  maine, Maine","$2,500",11-Jun-2015,1 gas outboard
629,Watkins 25,25',,,,cruiser,fiberglass  monohull,"Seneca Lake Keeowee Sailing Club Dock A18, South Carolina","$7,900",11-Jun-2015, diesel inboard
647,Easterly Easterly 30,30',,,1971,motorsailer,fiberglass  ,"Lake Perry, Kansas","$8,500",11-Jun-2015,1 gas inboard
667,O DAY ,25',8',,1978,cruiser,fiberglass  monohull,"lebanon, Connecticut","$2,500",11-Jun-2015, gas inboard
687,macgregor 26m,26',8',2',2007,motorsailer,fiberglass  monohull,"Portland ME, Maine","$19,000",10-Jun-2015,1 gas outboard
707,Catalina 30,30',10',4',1995,cruiser,fiberglass  monohull,"Cataumet, Massachusetts","$35,000",10-Jun-2015,1 diesel inboard
727,DISCOVERY DROMOR,9.16',3.35',1.38',,other,fiberglass  monohull,"GREECE, Outside United States","$21,400",10-Jun-2015,1 diesel inboard
745,C&C C&C 33,33',10',5.6',1975,racer/cruiser,fiberglass  monohull,"Clearwater, Florida","$16,999",09-Jun-2015,1 diesel inboard
765,CAPRI CORONADO,15',6',3',1985,racer/cruiser,fiberglass  monohull,"SPOKANE, Washington","$1,500",09-Jun-2015, gas inboard
785,Tillotson Pearson J24,24',8'9',4',1994,racer,fiberglass  monohull,"Syracuse, New York","$16,000",09-Jun-2015,1 gas outboard
