,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
464,Hardin Yachts Hardin 45 Ketch,45',13',5.5',1982,cruiser,fiberglass  monohull,"Annapolis, Maryland","$125,000",17-Jun-2021,1 diesel inboard
484,Windrider Rave,17',17',3',2000,racer,composite  trimaran,"Redding, Connecticut","$6,250",16-Jun-2021,
502,Norman cross Cross 24,24',13',2',1975,daysailer,composite  trimaran,"New haven, Connecticut","$6,500",16-Jun-2021, other outboard
522,Chaser Yachts Chaser 33,33',11',6',1976,racer/cruiser,fiberglass  monohull,"Newport Rhode Island, Rhode Island","$15,000",16-Jun-2021,1 gas inboard
542,Valiant 40,40',12.3',6',1976,cruiser,fiberglass  monohull,"Tahiti French Polynesia, ","$68,000",16-Jun-2021,1 diesel inboard
562,Performance Laser,14',4',,0801,daysailer,fiberglass  monohull,"Dothan Al, Alabama","$4,500",16-Jun-2021, gas inboard
582,Oday 30,30',10.75',3.10',1984,cruiser,fiberglass  monohull,"North Hero marina, Vermont","$18,500",16-Jun-2021,1 diesel inboard
620,AMF Puffer,12',5',,1988,daysailer,fiberglass  monohull,"Sea Girt, New Jersey","$1,450",16-Jun-2021, other inboard
640,Morgan Out Island 41,41',13',4',76,cruiser,fiberglass  monohull,"St Augustine, Florida","$60,000",16-Jun-2021,1 diesel inboard
660,Tillotson J24,24',,,1982,daysailer,fiberglass  monohull,"Odessa, Texas","$10,000",15-Jun-2021,1 gas outboard
680,RICHARD WOODS Elf Mk2,26',16',2.6',95,cruiser,fiberglass  catamaran,"Palmetto, Florida","$10,000",15-Jun-2021,1 gas outboard
700,Vanguard ,',,,,dinghy,fiberglass  monohull,,"$2,500",15-Jun-2021,
714,CE Ryder Seasprite 23,22.5',7',3',1980,daysailer,fiberglass  monohull,"Swans Island Mane 04685, Maine","$6,500",15-Jun-2021, gas outboard
734,Melges M16,16',5'8',,1970,racer,fiberglass  monohull,"Fond Du Lac, Wisconsin","$2,000",14-Jun-2021,0 gas inboard
754,Hughes Columbia Hughes Columbia 36 Centre Cockpit,36',10',4',1982,cruiser,fiberglass  monohull,"Midland Ontario Canada, ","$25,000",14-Jun-2021,1 diesel inboard
774,Tayana 42 Vancouver,42',12.5',5.8',1981,cruiser,fiberglass  monohull,"Bocas Del Toro - Panama, Outside United States","$15,000",14-Jun-2021,1 diesel inboard
794,Allied Greenwich,24',7'3',3',1969,cruiser,fiberglass  monohull,"Ipswich, Massachusetts","$1,800",14-Jun-2021,
812,Pointer Yacht Pointer 12,12-12',5',,2011,daysailer,fiberglass  monohull,"Cape Cod, Massachusetts","$2,100",13-Jun-2021,
830,Cal 2-46 Mk-II,46',12.5',5'6',1973,motorsailer,fiberglass  monohull,"1 Joy Lane Rochester NY 14612, New York","$42,500",13-Jun-2021,1 diesel inboard
850,Windrider WR17,17.33',12.92',1.5',2003,daysailer,other  trimaran,"Moyock, North Carolina","$4,999",13-Jun-2021,1 gas outboard
